source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
WW01_Park Ten WWTP Abandonment and Flow Diversion to Turkey Creek WWTP.xlsx,2021,Gravity Main,"28-inch Diameter Sanitary Sewer, in Tunnel, Gravity Pipe Installed in 42-inch Steel Casing in PPCA","28""",Steel,Tunnel,LF,300.0,2000.0,2000.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,30-Inch Diameter Sanitary Sewer by Open-Cut,"30""",Unspecified,Open Cut,LF,1183.0,380.0,380.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"30-inch diameter sanitary sewer, microtunneling & pipe-jacked tunnels","30""",Unspecified,Tunnel,LF,2180.0,1000.0,1000.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"30-inch diameter sanitary sewer, in tunnel (54? casing) (Fulton Street Crossing)","30""",Unspecified,Tunnel,LF,89.0,1300.0,1300.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"30-inch diameter sanitary sewer, by pipe augering with 54"" casing (Sheets C-61, C-71, C-77)","30""",Unspecified,Cased Crossing,LF,262.0,1500.0,1500.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"30-inch diameter sanitary sewer in 54-inch casing, microtunneling & pipe jacked tunnels (Bintliff & Beechnut)","30""",Unspecified,Tunnel,LF,368.0,2000.0,2000.0,,,,
WW03_Sagemont FM_230226_Sagemont_SOVs_1705094511299.xlsx,2023,Gravity Main,"36-inch diameter DIP (Class 52) gravity sanitary sewer with restraint joint, by open cut construction, all depths","36""",Ductile Iron,Open Cut,LF,25.0,1200.0,1200.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,"36-inch diameter sanitary sewer, by pipe augering with casing (Gravity sewer Beechnut & Fondren)","36""",Unspecified,Cased Crossing,LF,75.0,1500.0,1500.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Gravity Main,8-inch Diameter Sanitary Sewer by Open-Cut,"8""",Unspecified,Open Cut,LF,40.0,132.26,132.26,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Wastewater,"30-inch diameter sewer, by pipe augering with 42? casing (Robertson Street)","30""",Unspecified,Cased Crossing,LF,16.0,1500.0,1500.0,,,,
WW02_Rehabilitation of John F. Kennedy (FN 113) Lift Station.xlsx,2023,Wastewater,3/4-inch Diameter Water Line By Open Cut (Copper),"4""",Copper,Open Cut,LF,90.0,62.0,62.0,,,,
"WW04_Sanitary Sewer Force Main RnR - Eppes, Frawley, Bintliff Force Mains.xlsx",2014,Wastewater,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,20.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"10-inch diameter DIP sanitary sewer, by open-cut","10""",Ductile Iron,Open Cut,LF,56.0,280.0,280.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,10-inch Ductile Iron Pipe,"10""",Ductile Iron,Open Cut,LF,78.0,110.0,110.0,100.0,75.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,10-inch Ductile Iron Pipe,"10""",Ductile Iron,Open Cut,LF,78.0,110.0,110.0,100.0,75.0,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"10-inch diameter DIP sanitary sewer, by open-cut","10""",Ductile Iron,Open Cut,LF,56.0,280.0,280.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"10-inch diameter 150psi sanitary sewer, by open cut","10""",Unspecified,Open Cut,LF,18.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"10-Inch Diameter Sanitary Force Main with Restrained Joints using Trenchless, Horizontal Directional Drilling","10""",Unspecified,Open Cut,LF,1.0,105.0,105.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"10-Inch Diameter Sanitary Force Main with Restrained Joints, by Open Cut","10""",Unspecified,Open Cut,LF,1.0,195.0,195.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"10-Inch Diameter Sanitary Force Main with Restrained Joints, crossing HCFCD Unit A-119-00-00 STA 1+45 to STA 4+87 on Baseline E, by Horizontal Directional Drill","10""",Unspecified,Open Cut,LS,1.0,98000.0,98000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,10-inch Diameter Sanitary Force Main within PPCA STA 13+51 to STA 13+66 on Baseline C,"10""",Unspecified,Open Cut,LF,1.0,500.0,500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,10-inch Sanitary Sewer,"10""",Unspecified,Open Cut,LF,794.0,150.0,150.0,200.0,180.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,10-inch Sanitary Sewer (Pressure Rated),"10""",Unspecified,Open Cut,LF,88.0,160.0,160.0,200.0,180.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,10-inch Sanitary Sewer within limits of PPCA,"10""",Unspecified,Open Cut,LF,128.0,155.0,155.0,250.0,300.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,10-inch Sanitary Sewer (Pressure Rated),"10""",Unspecified,Open Cut,LF,88.0,160.0,160.0,200.0,180.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,10-inch Sanitary Sewer,"10""",Unspecified,Open Cut,LF,794.0,150.0,150.0,200.0,180.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,10-inch Sanitary Sewer within limits of PPCA,"10""",Unspecified,Open Cut,LF,128.0,155.0,155.0,250.0,300.0,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"10-inch diameter 150psi sanitary sewer, by open cut","10""",Unspecified,Open Cut,LF,18.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut,"108""",Steel,Open Cut,LF,1451.0,2000.0,2000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut in PPCA limits,"108""",Steel,Open Cut,LF,3101.0,2050.0,2050.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut in Steel Casing in PPCA limits (across Frank Road),"108""",Steel,Cased Crossing,LF,45.0,2900.0,2900.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel (across Aldine Westfield Road and along Intercontinental Park Blvd),"108""",Steel,Tunnel,LF,1214.0,5000.0,5000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel (across Greens Bayou),"108""",Steel,Tunnel,LF,448.0,7500.0,7500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (across Milner Road),"108""",Steel,Tunnel,LF,226.0,7500.0,7500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (across Morales Road),"108""",Steel,Tunnel,LF,69.0,9000.0,9000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (along Morales Road/Greens Bayou),"108""",Steel,Tunnel,LF,819.0,6050.0,6050.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,Cathodic Protection System for Proposed 108-inch  Diameter Steel  Water Line,"108""",Steel,Open Cut,LS,1.0,105500.0,105500.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut,"108""",Steel,Open Cut,LF,1451.0,2000.0,2000.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut in PPCA limits,"108""",Steel,Open Cut,LF,3101.0,2050.0,2050.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel (across Aldine Westfield Road and along Intercontinental Park Blvd),"108""",Steel,Tunnel,LF,1214.0,5000.0,5000.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel (across Greens Bayou),"108""",Steel,Tunnel,LF,448.0,7500.0,7500.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line by open-cut in Steel Casing in PPCA limits (across Frank Road),"108""",Steel,Cased Crossing,LF,45.0,2900.0,2900.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (along Morales Road/Greens Bayou),"108""",Steel,Tunnel,LF,819.0,6050.0,6050.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (across Morales Road),"108""",Steel,Tunnel,LF,69.0,9000.0,9000.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,108-inch diameter steel water line in Tunnel in PPCA limits (across Milner Road),"108""",Steel,Tunnel,LF,226.0,7500.0,7500.0,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,Cathodic Protection System for Proposed 108-inch  Diameter Steel  Water Line,"108""",Steel,Open Cut,LS,1.0,105500.0,105500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,Remove 108-inch diameter internal elliptical dished head plug and Connect to Existing 108-inch Diameter Water Line,"108""",Unspecified,Open Cut,EA,2.0,5000.0,5000.0,,,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,Remove 108-inch diameter internal elliptical dished head plug and Connect to Existing 108-inch Diameter Water Line,"108""",Unspecified,Open Cut,EA,2.0,5000.0,5000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints,"12""",Ductile Iron,Open Cut,LF,211.0,300.0,300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,12-Inch Diameter Ductile Iron WL at Crossings with Force Main,"12""",Ductile Iron,Open Cut,LF,1.0,425.0,425.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"12-inch diameter DIP sanitary sewer, by open-cut","12""",Ductile Iron,Open Cut,LF,36.0,300.0,300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints,"12""",Ductile Iron,Open Cut,LF,143.0,271.22,271.22,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"12""",Ductile Iron,Open Cut,LF,1383.0,220.0,220.0,240.0,200.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"12-inch diameter DIP water line by trenchless construction with restrained joints
within limits of  PPCA","12""",Ductile Iron,Open Cut,LF,140.0,267.33,267.33,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,12-inch Ductile Iron Pipe,"12""",Ductile Iron,Open Cut,LF,32.0,135.0,135.0,110.0,110.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"12""",Ductile Iron,Open Cut,LF,1383.0,220.0,220.0,240.0,200.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,12-inch Ductile Iron Pipe,"12""",Ductile Iron,Open Cut,LF,32.0,135.0,135.0,110.0,110.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints,"12""",Ductile Iron,Open Cut,LF,143.0,271.22,271.22,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"12-inch diameter DIP water line by trenchless construction with restrained joints
within limits of  PPCA","12""",Ductile Iron,Open Cut,LF,140.0,267.33,267.33,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,12-inch diameter DIP water line by trenchless construction with restrained joints,"12""",Ductile Iron,Open Cut,LF,211.0,300.0,300.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"12-inch diameter DIP sanitary sewer, by open-cut","12""",Ductile Iron,Open Cut,LF,36.0,300.0,300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,"12-inch Diameter Force Main in 16-inch PVC Casing parallel to WL, STA 34+22 to STA 38+55","12""",PVC,Cased Crossing,LF,1.0,600.0,600.0,,,,
